name,ra,dec,dist,pmra,pmdec,rv,rcluster,n_star
Gulliver_23,304.255,38.055,4065.0406504065036,-2.4459999999999997,-4.444,0,0.046,0
Gulliver_24,1.161,62.835,1572.3270440251572,-3.241,-1.57,0,0.10099999999999999,0
Gulliver_25,52.011,45.152,1406.4697609001407,0.96,-4.0889999999999995,0,0.331,0
Gulliver_26,80.689,35.27,2777.777777777778,2.0180000000000002,-2.8739999999999997,0,0.076,0
Gulliver_27,146.088,-54.117,3105.590062111801,-4.658,3.467,0,0.049,0
Gulliver_28,293.559,18.059,632.5110689437065,-4.485,-3.4,0,0.555,0
Gulliver_29,256.745,-35.205,1104.9723756906078,1.325,-2.206,0,0.679,0
Gulliver_3,122.536,-37.244,5235.602094240838,-2.9619999999999997,4.106,0,0.035,0
Gulliver_30,313.673,45.996,2341.9203747072597,-2.524,-3.697,0,0.083,0
Gulliver_31,301.91200000000003,38.232,2525.252525252525,-1.5,-3.113,0,0.077,0
Gulliver_32,98.383,7.478,1733.1022530329287,-0.879,2.3040000000000003,0,0.1,0
Gulliver_33,318.159,46.345,1153.4025374855826,0.27399999999999997,-3.9589999999999996,0,0.31,0
Gulliver_34,167.722,-59.158,4484.304932735426,-6.178999999999999,2.4090000000000003,0,0.045,0
Gulliver_35,150.379,-58.198,2469.135802469136,-6.973,3.967,0,0.09,0
Gulliver_36,123.185,-35.111,1379.3103448275863,-0.23600000000000002,0.609,0,0.14,0
Gulliver_37,292.077,25.346999999999998,1557.632398753894,-0.775,-3.74,0,0.105,0
Gulliver_38,300.808,34.435,2500.0,-0.9209999999999999,-2.594,0,0.06,0
Gulliver_39,163.697,-58.05,2985.0746268656717,-4.407,1.274,0,0.045,0
Gulliver_4,122.164,-37.5,3333.3333333333335,-2.912,3.033,0,0.079,0
Gulliver_40,163.095,-58.394,1697.792869269949,-7.686,2.476,0,0.08199999999999999,0
Gulliver_41,277.718,-12.429,5847.953216374269,-1.79,-4.709,0,0.032,0
Gulliver_42,303.935,37.851,5524.861878453038,-2.778,-5.452000000000001,0,0.054000000000000006,0
Gulliver_43,296.283,24.558000000000003,2849.0028490028485,-2.9219999999999997,-5.796,0,0.075,0
Gulliver_44,127.249,-38.095,1273.8853503184712,-0.6659999999999999,2.301,0,0.18899999999999997,0
Gulliver_45,104.617,3.1039999999999996,3521.1267605633807,-0.76,2.51,0,0.054000000000000006,0
Gulliver_46,186.234,-61.973,5524.861878453038,-6.946000000000001,0.125,0,0.024,0
Gulliver_47,107.932,0.8270000000000001,2036.6598778004075,-1.9569999999999999,-0.43200000000000005,0,0.161,0
Gulliver_48,316.334,50.733000000000004,945.1795841209829,-4.781000000000001,-6.671,0,0.28,0
Gulliver_49,350.704,61.988,1703.577512776831,-4.022,-3.05,0,0.156,0
Gulliver_5,132.626,-45.50899999999999,2463.054187192118,-5.102,4.904,0,0.107,0
Gulliver_50,181.362,-62.678000000000004,1945.5252918287938,-7.204,1.663,0,0.106,0
Gulliver_51,30.335,63.801,1545.5950540958268,-4.8919999999999995,-0.149,0,0.075,0
Gulliver_52,161.66899999999998,-59.508,2525.252525252525,-4.755,1.47,0,0.153,0
Gulliver_53,80.975,34.012,2604.1666666666665,0.401,-2.8369999999999997,0,0.12300000000000001,0
Gulliver_54,81.297,33.688,1264.2225031605565,-0.595,-7.2989999999999995,0,0.102,0
Gulliver_55,297.83299999999997,18.660999999999998,2710.027100271003,-2.043,-2.53,0,0.085,0
Gulliver_56,95.38,26.909000000000002,2183.406113537118,0.534,-3.24,0,0.071,0
Gulliver_57,141.203,-48.075,1426.5335235378031,-6.737,4.085,0,0.11,0
Gulliver_58,191.515,-61.965,2512.562814070352,-3.592,-0.353,0,0.07400000000000001,0
Gulliver_59,195.72099999999998,-64.6,2304.147465437788,-2.408,-1.053,0,0.172,0
Gulliver_6,83.27799999999999,-1.652,422.4757076468103,-0.006999999999999999,-0.207,0,0.517,0
Gulliver_60,303.436,29.671999999999997,1112.3470522803113,1.7519999999999998,0.21899999999999997,0,0.109,0
Gulliver_7,141.746,-55.126999999999995,11904.761904761905,-3.5469999999999997,3.108,0,0.034,0
Gulliver_8,80.56,33.792,1146.7889908256882,-0.156,-2.9819999999999998,0,0.102,0
Gulliver_9,126.99799999999999,-47.928999999999995,503.7783375314861,-5.992000000000001,6.915,0,0.9690000000000001,0
Haffner_10,112.156,-15.364,3861.003861003861,-1.1440000000000001,1.557,0,0.028999999999999998,0
Haffner_11,113.855,-27.708000000000002,7246.376811594202,-1.465,3.1489999999999996,0,0.048,0
Haffner_13,115.209,-30.073,574.052812858783,-6.184,5.879,0,0.327,0
Haffner_14,116.182,-28.384,4424.778761061947,-1.821,1.7280000000000002,0,0.081,0
Haffner_15,116.38,-32.846,4201.680672268907,-2.154,3.2889999999999997,0,0.031,0
Haffner_16,117.586,-25.458000000000002,3412.969283276451,-2.8110000000000004,2.991,0,0.031,0
Haffner_17,117.899,-31.811999999999998,4048.582995951417,-1.195,1.859,0,0.027000000000000003,0
Haffner_18,118.16799999999999,-26.386999999999997,5405.405405405406,-2.548,2.67,0,0.032,0
Haffner_19,118.193,-26.274,5917.15976331361,-2.494,2.5069999999999997,0,0.017,0
Haffner_20,119.061,-30.369,5617.977528089887,-2.294,3.407,0,0.017,0
Haffner_21,120.288,-27.212,3496.503496503496,-1.432,1.5630000000000002,0,0.028999999999999998,0
Haffner_22,123.10799999999999,-27.913,3039.5136778115507,-1.6380000000000001,2.878,0,0.078,0
Haffner_23,107.389,-16.866,2232.1428571428573,-0.526,-0.077,0,0.11699999999999999,0
Haffner_26,123.911,-30.851,3300.3300330033003,-1.588,2.37,0,0.066,0
Haffner_3,106.027,-6.132999999999999,2638.5224274406332,-1.179,-0.9059999999999999,0,0.042,0
Haffner_4,106.512,-15.002,4484.304932735426,-0.41700000000000004,0.904,0,0.024,0
Haffner_5,109.493,-22.66,1751.3134851138352,0.965,-4.06,0,0.06,0
Haffner_6,109.99799999999999,-13.151,4901.9607843137255,-1.22,1.96,0,0.049,0
Haffner_7,110.734,-29.502,5025.125628140704,-1.541,2.966,0,0.032,0
Haffner_8,110.777,-12.31,3184.7133757961783,-1.626,0.446,0,0.04,0
Haffner_9,111.175,-17.000999999999998,2967.3590504451035,-0.8320000000000001,0.424,0,0.035,0
Harvard_10,244.859,-54.957,705.2186177715091,-1.919,-10.577,0,0.354,0
Harvard_13,255.99900000000002,-48.09,1239.1573729863692,-2.766,-7.19,0,0.078,0
Harvard_16,262.781,-36.813,1605.1364365971108,-0.636,-0.778,0,0.132,0
Harvard_20,298.32099999999997,18.345,2169.1973969631235,-1.732,-4.447,0,0.079,0
Havlen_Moffat_1,259.752,-38.817,4739.336492890995,-1.047,-2.552,0,0.019,0
Hogg_10,167.66299999999998,-60.385,2617.801047120419,-6.2010000000000005,1.754,0,0.032,0
Hogg_15,190.90599999999998,-63.101000000000006,3759.398496240601,-6.018,-0.461,0,0.064,0
Hogg_17,218.459,-61.326,2457.002457002457,-5.2010000000000005,-2.4330000000000003,0,0.059000000000000004,0
Hogg_18,222.71599999999998,-52.271,1773.0496453900712,-1.808,-2.3169999999999997,0,0.067,0
Hogg_19,247.236,-49.11,2710.027100271003,-2.05,-3.125,0,0.046,0
Hogg_21,251.41400000000002,-47.747,2732.24043715847,-0.937,-2.206,0,0.045,0
Hogg_4,149.424,-54.611999999999995,4761.904761904762,-5.022,4.484,0,0.077,0
IC_1311,302.697,41.177,8064.5161290322585,-3.364,-5.047,0,0.039,0
IC_1369,318.033,47.77,3816.793893129771,-4.644,-5.609,0,0.043,0
IC_1396,324.745,57.513999999999996,938.0863039399626,-2.355,-4.495,0,0.297,0
IC_1434,332.625,52.858000000000004,3597.122302158273,-3.904,-3.3280000000000003,0,0.091,0
IC_1442,333.978,53.995,3472.2222222222217,-3.341,-3.283,0,0.115,0
IC_1590,13.205,56.629,2949.8525073746314,-2.3680000000000003,-1.449,0,0.055,0
IC_166,28.094,61.857,5714.285714285715,-1.439,1.126,0,0.06,0
IC_1805,38.21,61.471000000000004,2227.1714922048996,-0.7020000000000001,-0.669,0,0.111,0
IC_1848,42.855,60.419,2409.6385542168678,-0.37200000000000005,-0.315,0,0.2,0
IC_2157,91.18299999999999,24.090999999999998,2232.1428571428573,0.9590000000000001,-2.9819999999999998,0,0.047,0
IC_2391,130.292,-52.99100000000001,151.92950470981464,-24.644000000000002,23.316,0,0.8140000000000001,0
IC_2395,130.531,-48.09,725.1631617113851,-4.4639999999999995,3.293,0,0.209,0
IC_2488,141.857,-57.004,1392.757660167131,-7.761,5.6979999999999995,0,0.22,0
